time,open,close,high,low,volume
1364923980000,108.34,108.3689,108.3689,108.34,13.89725471
1364924040000,108.3689,108.3689,108.3689,108.3689,3.11975593
1364924100000,108.3689,108.3689,108.3689,108.365,5.832989360000001
1364924160000,108.34,108.3689,108.3689,108.34,4.360063159999998
1364924520000,108.01,108.09999,108.09999,108.007,5.26489106
1364925660000,108.60001,108.6,108.60001,108.5,36.11600063
1364925720000,108.399,108.399,108.399,108.399,1.51752258
1364925780000,108.399,108.399,108.399,108.399,3.11791773
1364925840000,108.605,108.605,108.605,108.605,13.88399937
1364925900000,108.7594,108.71999,108.7594,108.71999,2.0
1364925960000,108.72,108.7594,108.7594,108.72,3.73860034
1364926680000,108.79099,108.79998,108.79998,108.79099,0.07258005
1364926740000,108.83,108.83,108.83,108.83,10.0
1364926980000,108.58,108.83,108.83,108.58,15.0
1364927640000,108.8,108.8,108.8,108.8,1.0
1364927940000,108.51,108.80001,108.81127,108.51,20.0
1364928180000,108.90041,108.90041,108.90041,108.90041,0.01131245
1364928420000,108.98,108.97999,108.98,108.97999,200.0
1364928480000,108.97999,108.98,108.98,108.97999,11.0
1364928600000,110.0,110.0,110.0,110.0,21.0
1364928660000,110.25,109.689,110.25,109.689,19.54949782
1364928720000,109.689,109.99,109.99,109.689,99.54952027
1364928840000,109.99,109.99,109.99,109.99,30.0
1364928900000,109.69,109.69,109.69,109.69,1.0
1364928960000,109.95,109.95,109.95,109.95,22.0
1364929020000,109.95,109.95,109.95,109.95,17.04146646
1364929080000,109.94999,109.95,109.95,109.94999,14.92741995
1364929260000,109.99998,110.0,110.0,109.99998,274.82280752
1364929320000,109.8011,109.80109,109.8011,109.80109,1.01016951
1364929380000,110.01002,111.0,111.0,110.01002,4.0
1364930220000,110.98901,109.5,110.98901,109.151,363.87
1364930460000,110.99998,110.99998,110.99998,110.99998,0.4413583
1364930580000,110.95,110.95,110.95,110.95,0.29871
1364930640000,110.71101000000002,110.71101000000002,110.71101000000002,110.71101000000002,0.01
1364931060000,111.0,111.0,111.0,111.0,2.0
1364931240000,111.96,111.96,111.96,111.96,0.1
1364931300000,111.05002,111.96,111.96,111.05002,0.2
1364931360000,112.0,111.96,112.0,111.96,0.4
1364931420000,111.96,112.0,112.0,111.96,0.2
1364931660000,111.95001,111.95001,111.95001,111.95001,9.42
1364931900000,111.96,111.96,111.96,111.96,0.1
1364931960000,111.96,112.0,112.0,111.96,39.04
1364932020000,111.9954,113.0,113.0,111.9954,8.099999999999998
1364932080000,111.9954,113.0,113.0,111.9954,35.64504399000001
1364932140000,113.0,111.9954,113.0,111.9954,14.75495601
1364932200000,111.9954,111.9954,111.9954,111.9954,0.1
1364932260000,111.9954,111.9954,111.9954,111.9954,1.4
1364932680000,114.6795,115.0,115.25,114.6795,23.3
1364932800000,115.0,115.0,115.0,115.0,4.0
1364933040000,113.95,113.95,113.95,113.95,2.0815625
1364933280000,114.10998907,114.10832612,114.49834612,114.10832612,51.0
1364933340000,114.49834612,113.9997943,114.49834612,113.9997943,65.9
1364933520000,114.5,114.5,114.5,114.5,0.39899564
1364933580000,114.62395802,114.62395802,114.62395802,114.62395802,2.8
1364933640000,114.61809188,114.62010336,114.62010336,114.47808188,21.1164521
1364933700000,114.62010336,114.61760118,114.62010336,114.61760118,3.9493563
1364933760000,114.6,114.6,114.6,114.6,9.8
1364933820000,114.1622841,114.01355497,114.4322841,114.01355497,6.421830140000001
